timestamp,n_robots,hz,duration_s,published,throughput_pub,alerts,throughput_alert,influx_records,throughput_influx,broker_avg_ms,broker_p95_ms,nebula_avg_ms,nebula_p95_ms,telegraf_est_ms,e2e_avg_ms,e2e_p95_ms
2026-06-14 14:26:47,1,10.0,62.22,599,9.63,599,9.63,599,9.63,1.87,3.11,57.63,92.39,-0.34,59.49,94.26
2026-06-14 14:28:03,3,10.0,62.15,1797,28.91,1797,28.91,1797,28.91,2.23,3.88,64.21,102.85,-0.32,66.33,105.08
2026-06-14 14:29:20,10,10.0,61.43,5990,97.51,5990,97.51,5990,97.51,3.35,6.73,49.05,75.79,-0.37,52.4,79.14
2026-06-14 14:30:37,20,10.0,62.25,11980,192.46,11980,192.46,11980,192.46,5.55,12.93,55.9,86.61,-0.14,61.44,92.16
2026-06-14 14:31:53,30,10.0,62.13,17970,289.22,17970,289.22,17970,289.22,7.84,18.37,56.3,105.65,-0.26,64.09,113.47
2026-06-14 14:33:11,40,10.0,61.43,23960,390.01,23960,390.01,23960,390.01,10.04,23.89,63.62,104.64,-0.24,73.18,114.63
2026-06-14 14:34:28,50,10.0,62.18,29950,481.68,29950,481.68,29950,481.68,11.14,26.55,42.66,101.62,-0.15,53.8,112.76
2026-06-14 14:35:46,3,1.0,62.21,180,2.89,180,2.89,180,2.89,4.04,9.88,57.62,103.83,-98.7,61.67,107.87
2026-06-14 14:37:04,3,20.0,62.17,3585,57.67,3585,57.67,3585,57.67,2.06,3.9,66.18,104.63,-0.24,68.23,106.69
2026-06-14 14:38:22,3,40.0,62.07,7125,114.78,7125,114.78,7125,114.78,2.17,3.8,56.93,103.19,-0.16,59.1,105.37
2026-06-14 14:39:39,3,60.0,61.73,10650,172.54,10650,172.54,10650,172.54,1.88,3.63,56.56,101.84,-0.01,58.43,103.71
2026-06-14 14:40:58,3,80.0,62.12,14148,227.76,14148,227.76,14148,227.76,1.98,3.59,57.22,102.59,-0.23,59.19,104.57
2026-06-14 14:42:14,3,100.0,62.14,17499,281.61,17499,281.61,17499,281.61,2.16,3.85,57.53,102.97,-0.26,59.69,105.13
